x,y,yaw,v
36.7385,1747.2708,1.7264,10.7725
36.5757,1748.3158,1.7067,10.7734
36.4382,1749.3276,1.6885,10.7742
36.3170,1750.3622,1.6706,10.7756
36.2152,1751.3896,1.6539,10.7771
36.1321,1752.3979,1.6387,10.7798
36.0619,1753.4456,1.6239,10.7861
36.0091,1754.4612,1.6116,10.7950
35.9684,1755.4937,1.6006,10.8109
35.9386,1756.5356,1.5908,10.8355
35.9187,1757.5947,1.5829,10.8711
35.9072,1758.6394,1.5774,10.9090
35.9014,1759.6741,1.5735,10.9679
35.8993,1760.7150,1.5705,11.0420
35.9001,1761.7817,1.5686,11.1320
35.9028,1762.8412,1.5677,11.2157
35.9066,1763.9216,1.5676,11.3314
35.9105,1764.9993,1.5678,11.4587
35.9142,1766.0874,1.5684,11.5876
35.9173,1767.1818,1.5692,11.6769
35.9195,1768.2903,1.5701,11.7550
35.9205,1769.4183,1.5711,11.7945
35.9202,1770.5100,1.5721,11.7940
35.9188,1771.6152,1.5731,11.7356
35.9164,1772.7034,1.5739,11.6468
35.9132,1773.7662,1.5745,11.5314
35.9094,1774.8389,1.5751,11.4274
35.9050,1775.8975,1.5756,11.2872
35.8999,1776.9731,1.5759,11.1423
35.8949,1777.9832,1.5761,11.0246
35.8896,1779.0154,1.5762,10.8762
35.8842,1780.0330,1.5763,10.7272
35.8788,1781.0377,1.5764,10.6079
35.8719,1782.3328,1.5763,10.4287
35.8654,1783.5830,1.5762,10.2191
35.8593,1784.8054,1.5762,10.0395
35.8532,1786.0305,1.5761,9.8599
35.8473,1787.2102,1.5761,9.6799
35.8414,1788.3763,1.5761,9.4994
35.8354,1789.5321,1.5761,9.3186
35.8299,1790.6499,1.5760,9.1382
35.8247,1791.7283,1.5759,8.9580
35.8198,1792.8074,1.5759,8.7780
35.8150,1793.8776,1.5759,8.5978
35.8104,1794.9014,1.5759,8.4187
35.8059,1795.9026,1.5759,8.2401
35.8003,1797.1146,1.5759,8.0008
35.7954,1798.1461,1.5760,7.8215
35.7900,1799.2207,1.5759,7.6125
35.7844,1800.3276,1.5759,7.3734
35.7790,1801.4159,1.5758,7.1647
35.7738,1802.4597,1.5757,6.9560
35.7687,1803.4865,1.5757,6.7177
35.7630,1804.6667,1.5756,6.4509
35.7578,1805.7712,1.5755,6.1963
35.7527,1806.8540,1.5755,5.9686
35.7477,1807.8940,1.5754,5.8384
35.7428,1808.9351,1.5755,5.8130
35.7381,1809.9409,1.5754,5.7593
35.7329,1811.0647,1.5754,5.7670
35.7280,1812.1632,1.5750,5.7625
35.7241,1813.1873,1.5745,5.7430
35.7210,1814.2075,1.5741,5.7450
35.7182,1815.2438,1.5740,5.7421
35.7152,1816.2764,1.5744,5.7380
35.7118,1817.2991,1.5752,5.7336
35.7073,1818.3414,1.5762,5.7297
35.7017,1819.3555,1.5774,5.7271
35.6947,1820.3923,1.5785,5.7254
35.6868,1821.4055,1.5795,5.7250
35.6776,1822.4329,1.5804,5.7251
35.6666,1823.4670,1.5741,5.7210
35.6675,1824.4846,1.5524,5.7200
35.6962,1825.5178,1.5163,5.7263
35.7661,1826.5498,1.4688,5.7374
35.8834,1827.5496,1.4161,5.7569
36.0615,1828.5826,1.3479,5.7622
36.3065,1829.5767,1.2673,5.7894
36.6426,1830.5693,1.1832,5.8170
37.0613,1831.5342,1.1002,5.8359
37.5573,1832.4606,1.0203,5.8537
38.1728,1833.4130,0.9412,5.8637
38.8573,1834.3123,0.8679,5.8611
39.5441,1835.0957,0.8080,5.8199
40.2896,1835.8507,0.7603,5.7938
41.0560,1836.5605,0.7266,5.7508
41.8324,1837.2386,0.7113,5.6757
42.6149,1837.9106,0.7216,5.6453
43.3722,1838.5848,0.7414,5.6400
44.1185,1839.2792,0.7673,5.6302
44.8388,1839.9863,0.7949,5.6225
45.5424,1840.7170,0.8235,5.6162
46.2648,1841.5137,0.8579,5.6117
46.9845,1842.3693,0.8975,5.6143
47.6958,1843.2896,0.9390,5.6203
48.2835,1844.1128,0.9728,5.6236
48.8409,1844.9504,1.0053,5.6198
49.3722,1845.8080,1.0570,5.6155
49.8522,1846.6936,1.1221,5.6390
